feedback_id,student_id,course_id,week,feedback_text,true_label,predicted_category,confidence_score,classification_method,accessibility_flag
1,11391,AAA,2,I couldn't access the lecture video with my screen reader. The player had no captions.,accessibility_issue,accessibility_issue,0.85,hybrid_accessibility_gate,1
2,28400,AAA,4,Great explanations in week 3. The examples really helped.,positive,positive,0.7633,zero_shot,0
3,30268,AAA,1,The quiz closed before I could finish because the timer was too short.,technical_issue,technical_issue,0.75,hybrid_low_confidence,0
4,31604,AAA,5,Course content is clear but there is a lot to read each week.,content_quality,content_quality,0.75,hybrid_low_confidence,0
5,32885,AAA,3,Moving too fast — we covered two chapters in one week.,pacing,pacing,0.75,hybrid_low_confidence,0
6,38053,BBB,2,The PDF readings are not tagged properly for assistive technology.,accessibility_issue,accessibility_issue,0.85,hybrid_accessibility_gate,1
7,45462,BBB,6,Really enjoyed the discussion activities. Well structured.,positive,positive,0.9969,zero_shot,0
8,45642,BBB,4,Could not submit my assignment — upload button kept failing.,technical_issue,technical_issue,0.75,hybrid_low_confidence,0
9,52130,BBB,3,Some videos had poor audio quality and were hard to follow.,content_quality,content_quality,0.918,zero_shot,0
10,54076,BBB,2,Deadlines feel rushed with little time between TMAs.,pacing,pacing,0.6037,zero_shot,0
11,11391,AAA,7,Font contrast on the course homepage is too low for me to read.,accessibility_issue,accessibility_issue,0.85,hybrid_accessibility_gate,1
12,28400,AAA,8,Excellent tutor feedback on my first assignment.,positive,positive,0.8576,zero_shot,0
13,30268,AAA,5,Platform logged me out during the exam and I lost my answers.,technical_issue,technical_issue,0.75,hybrid_low_confidence,0
14,31604,AAA,6,The module handbook is well organized and easy to navigate.,content_quality,positive,0.75,hybrid_low_confidence,0
15,32885,AAA,4,Too many readings assigned for a single week.,pacing,pacing,0.75,hybrid_low_confidence,0
16,38053,BBB,1,Screen reader could not read the labels on the quiz questions.,accessibility_issue,accessibility_issue,0.85,hybrid_accessibility_gate,1
17,45462,BBB,9,Best online course I have taken so far. Very engaging.,positive,positive,0.5597,zero_shot,0
18,45642,BBB,7,Website was down for maintenance during the due date.,technical_issue,technical_issue,0.75,hybrid_low_confidence,0
19,52130,BBB,5,Some content felt outdated compared to current industry practice.,content_quality,content_quality,0.75,hybrid_low_confidence,0
20,54076,BBB,3,Would prefer more time between the midterm and final project.,pacing,pacing,0.75,hybrid_low_confidence,0
21,605939,GGG,2,No transcript available for the week 2 video lectures.,accessibility_issue,accessibility_issue,0.85,hybrid_accessibility_gate,1
22,588233,GGG,4,Clear and concise teaching. I understood the material quickly.,positive,content_quality,0.5,hybrid_low_confidence,0
23,286527,EEE,1,My submission was marked late even though I uploaded on time.,technical_issue,technical_issue,0.75,hybrid_low_confidence,0
24,685705,FFF,6,The learning objectives for each week are very helpful.,content_quality,positive,0.4843,zero_shot,0
25,680231,FFF,3,The pace picked up suddenly after week 4.,pacing,content_quality,0.5,hybrid_low_confidence,0
26,682306,DDD,2,Keyboard navigation does not work on the forum page.,accessibility_issue,content_quality,0.5,hybrid_low_confidence,0
27,540224,FFF,5,Thank you for the supportive tutor responses.,positive,positive,0.9987,zero_shot,0
28,605939,GGG,7,Could not open the SCORM package in my browser.,technical_issue,content_quality,0.5,hybrid_low_confidence,0
29,588233,GGG,8,Slides are dense but the summaries at the end help.,content_quality,content_quality,0.5,hybrid_low_confidence,0
30,286527,EEE,4,Fall behind once and it is very hard to catch up.,pacing,content_quality,0.5,hybrid_low_confidence,0
31,11391,AAA,9,Alt text missing on most images in the course materials.,accessibility_issue,content_quality,0.5,hybrid_low_confidence,0
32,28400,AAA,10,Very satisfied with how the course is run.,positive,positive,0.9975,zero_shot,0
33,30268,AAA,6,Error message when trying to access the library link.,technical_issue,technical_issue,0.75,hybrid_low_confidence,0
34,31604,AAA,7,Good balance of theory and practical exercises.,content_quality,positive,0.5695,zero_shot,0
35,32885,AAA,5,Weekly workload is inconsistent — some weeks are overwhelming.,pacing,pacing,0.4926,zero_shot,0
36,38053,BBB,8,Video player controls are not reachable with keyboard only.,accessibility_issue,content_quality,0.5,hybrid_low_confidence,0
37,45462,BBB,10,Outstanding course design. Would recommend to others.,positive,positive,0.9968,zero_shot,0
38,45642,BBB,6,File upload limit was too small for my assignment.,technical_issue,technical_issue,0.75,hybrid_low_confidence,0
39,52130,BBB,9,Instructions for the final project were confusing.,content_quality,content_quality,0.75,hybrid_low_confidence,0
40,54076,BBB,7,Need an extra week before the final assessment.,pacing,content_quality,0.5,hybrid_low_confidence,0
41,605939,GGG,3,Color-only indicators used without text labels — inaccessible.,accessibility_issue,accessibility_issue,0.85,hybrid_accessibility_gate,1
42,588233,GGG,11,Really appreciate the optional extension activities.,positive,positive,0.9977,zero_shot,0
43,286527,EEE,5,Mobile app crashes when opening week 5 resources.,technical_issue,technical_issue,0.75,hybrid_low_confidence,0
44,685705,FFF,8,Core concepts are explained well with good examples.,content_quality,positive,0.5444,zero_shot,0
45,680231,FFF,4,First half was slow then everything was due at once.,pacing,content_quality,0.5,hybrid_low_confidence,0
46,682306,DDD,6,Cannot enlarge text without breaking the page layout.,accessibility_issue,content_quality,0.5,hybrid_low_confidence,0
47,540224,FFF,9,Positive learning experience overall.,positive,positive,0.9923,zero_shot,0
48,605939,GGG,5,Discussion forum notifications never arrived.,technical_issue,content_quality,0.5,hybrid_low_confidence,0
49,588233,GGG,7,Reading list is relevant and up to date.,content_quality,content_quality,0.5,hybrid_low_confidence,0
50,286527,EEE,6,Would like slower progression in the early weeks.,pacing,content_quality,0.5,hybrid_low_confidence,0
51,11391,AAA,4,Automated captions are inaccurate and unusable for deaf students.,accessibility_issue,accessibility_issue,0.85,hybrid_accessibility_gate,1
52,28400,AAA,3,Module team responds quickly to questions.,positive,content_quality,0.5,hybrid_low_confidence,0
53,30268,AAA,8,VLE timed out while I was completing the quiz.,technical_issue,content_quality,0.5,hybrid_low_confidence,0
54,31604,AAA,9,Assessment criteria are clearly explained.,content_quality,content_quality,0.4654,zero_shot,0
55,32885,AAA,7,Too much new material introduced in week 7.,pacing,pacing,0.75,hybrid_low_confidence,0
56,38053,BBB,4,Download links for audio files return a 404 error.,technical_issue,technical_issue,0.75,hybrid_low_confidence,0
57,45462,BBB,3,Love the interactive diagrams in this module.,positive,positive,0.9947,zero_shot,0
58,45642,BBB,8,Some external links in the bibliography are broken.,technical_issue,technical_issue,0.75,hybrid_low_confidence,0
59,52130,BBB,6,Content difficulty jumps sharply in the second half.,pacing,content_quality,0.5,hybrid_low_confidence,0
60,54076,BBB,5,High contrast mode is not supported on the course site.,accessibility_issue,accessibility_issue,0.85,hybrid_accessibility_gate,1
