feature,mean_abs_shap
early_clicks,0.04834861134615416
early_active_days,0.04568657124358487
early_unique_resources,0.028823519615408643
highest_education_Lower Than A Level,0.026582034802236258
early_submit_mean_score,0.025918357770201145
studied_credits,0.025910455018061496
early_mean_score,0.024210186956121774
days_since_last_login,0.02130562499114425
early_submissions,0.020350959761745203
early_n_assessments,0.018167100050454504
vle_diversity,0.01804433201261356
num_of_prev_attempts,0.011142420696205987
highest_education_A Level or Equivalent,0.010378935249033376
early_late_count,0.009959333344209056
gender_M,0.009032956645714218
gender_F,0.008407201566446141
imd_band_0-10%,0.00529989734209195
highest_education_HE Qualification,0.004118595668610017
imd_band_10-20,0.0037214500304748512
age_band_0-35,0.003149121154962909
age_band_35-55,0.0028515218326011435
imd_band_90-100%,0.002760156728830659
disability_N,0.002731237346408409
imd_band_20-30%,0.0026548216896086193
disability_Y,0.0025418937040924666
imd_band_80-90%,0.0017398332550911041
imd_band_nan,0.001703217531508322
region_South Region,0.0013690735968736297
region_North Western Region,0.0013124582117706772
region_Wales,0.001120609821832834
imd_band_70-80%,0.0010225359339876747
region_Scotland,0.0009488971491650901
region_East Anglian Region,0.0009478953943827499
region_South East Region,0.000942906678297944
imd_band_60-70%,0.000849261971431014
region_West Midlands Region,0.0006972913748221863
region_North Region,0.0006375718456907766
region_London Region,0.0006095827713782241
region_South West Region,0.0005882848180606133
highest_education_No Formal quals,0.0005663388752576107
imd_band_50-60%,0.0005551081768591219
region_East Midlands Region,0.00046527649451136207
imd_band_40-50%,0.00042585552731105153
imd_band_30-40%,0.0004222478146430357
region_Yorkshire Region,0.0003860431928534491
region_Ireland,0.00028435921447649703
highest_education_Post Graduate Qualification,0.0002019155449271715
age_band_55<=,9.813577953456764e-05
