code_module,week,predicted_category,n_feedback
AAA,1,technical_issue,1
AAA,2,accessibility_issue,1
AAA,3,content_quality,1
AAA,3,pacing,1
AAA,4,accessibility_issue,1
AAA,4,pacing,1
AAA,4,positive,1
AAA,5,content_quality,1
AAA,5,pacing,1
AAA,5,technical_issue,1
AAA,6,positive,1
AAA,6,technical_issue,1
AAA,7,accessibility_issue,1
AAA,7,pacing,1
AAA,7,positive,1
AAA,8,content_quality,1
AAA,8,positive,1
AAA,9,content_quality,2
AAA,10,positive,1
BBB,1,accessibility_issue,1
BBB,2,accessibility_issue,1
BBB,2,pacing,1
BBB,3,content_quality,1
BBB,3,pacing,1
BBB,3,positive,1
BBB,4,technical_issue,2
BBB,5,accessibility_issue,1
BBB,5,content_quality,1
BBB,6,content_quality,1
BBB,6,positive,1
BBB,6,technical_issue,1
BBB,7,content_quality,1
BBB,7,technical_issue,1
BBB,8,content_quality,1
BBB,8,technical_issue,1
BBB,9,content_quality,1
BBB,9,positive,1
BBB,10,positive,1
DDD,2,content_quality,1
DDD,6,content_quality,1
EEE,1,technical_issue,1
EEE,4,content_quality,1
EEE,5,technical_issue,1
EEE,6,content_quality,1
FFF,3,content_quality,1
FFF,4,content_quality,1
FFF,5,positive,1
FFF,6,positive,1
FFF,8,positive,1
FFF,9,positive,1
GGG,2,accessibility_issue,1
GGG,3,accessibility_issue,1
GGG,4,content_quality,1
GGG,5,content_quality,1
GGG,7,content_quality,2
GGG,8,content_quality,1
GGG,11,positive,1
